question,ground_truth,model_answer,confidence,is_correct
"What word is used to describe someone who is neither left or right handed, but can use both hands with equal ease?",Ambidextrous,Ambidextrous,0.83,True
"Which cult film, starring Harrison Ford, was based on the story Do Androids Dream of Electric Sheep?",Blade Runner,Blade Runner,0.92,True
"Which ITV magazine style show ran from 1968 to 1980 and featured presenters including Jenny Hanley, Mick Robertson and Tommy Boyd?",Magpie,Magpie,0.63,True
Which type of animal was Robin Hood in the Disney cartoon film 'Robin Hood'?,Fox,fox,0.78,True
Who provided the voice for Bob The Builder on his number one hit Can We Fix It?,Neil Morrissey,Neil Morrissey,0.79,True
Which actor received 4 million dollars for his 10 minutes on screen in the film Superman?,Marlon Brando,Marlon Brando,0.72,True
"Who directed the films Thelma and Louise, Hannibal and Black Hawk Down?",Ridley Scott,Ridley Scott,0.95,True
"Which serial killer is the subject of the films A Study In Terror, Murder By Decree and From Hell?",Jack The Ripper,Jack the Ripper,0.83,True
"In cricket, what is the score of 111 known as?",Nelson,A century,0.78,False
"Who wrote the novels About A Boy, How To Be Good and High Fidelity?",Nick Hornby,Nick Hornby,0.95,True
"With which game would you use a squidger, a circular disc between 25mm and 51 mm?",Tiddlywinks,Croquet,0.73,False
The melody for which famous song was written by sisters and school teachers Patty and Mildred Hill in Kentucky in 1893?,Happy Birthday,"My Country, 'Tis of Thee",0.79,False
What is the most common pub name in the UK?,The Red Lion,The Red Lion,0.62,True
What is the name of Kevin the teenager's friend played by Kathy Burke in a series of sketches with Harry Enfield?,Perry,Randy,0.65,False
"What seven letter word, beginning with the letters 'Ra' is a palindrome?",Racecar,Radar,0.95,False
Which fruit can go in the middle of the word aped to make a new word?,Pear,peach,0.57,False
How many scottish football league teams names end in United?,3,"Three teams, Airdrieonians United, Clydebank United and Arthurlie United are now defunct but the name survives in Airdrieonians' successor club Airdrie United.",0.67,False
Who had a top ten hit in the UK with Cupid in 1961?,Sam Cooke,Sam Cooke,0.79,True
The theme tune to which TV show starts with the line Stick a pony in me pocket?,Only Fools And Horses,Only Fools and Horses,0.73,True
What word is given to a point in tennis which has to be replayed?,Let,Let,0.85,True
How many episodes of Prisoner: Cell Block H were made?,692,692,0.7,True
Who is the last English-born player to win the men's singles title at Wimbledon?,Fred Perry,Andy Murray,0.79,False
"Which famous painter's surname was Harmenzoon van Rijn which translated as son of Harmen, of the Rhine?",Rembrandt,Rembrandt,0.95,True
"In 1976, which gymnast scored 7 maximum scores of 10 as she won three gold medals, one silver and one bronze?",Nadia Comaneci,Nadia Comăneci,0.95,True
"In years and days, how old was Luigina Giavotti when she won a silver medal in gymnastics in 1928, and is still the youngest medal winner today?",11 years and 302 days,6 years and 28 days,0.67,False
Which Eastenders actor has played the policeman Nick Rowan on TV?,Nick Berry,Nick Berry,0.62,True
"What type of animal was Boris, the subject of a song by The Who?",Spider,bear,0.72,False
Which brand of beer does Homer Simpson drink regularly?,Duff,Duff Beer,0.95,True
From which animal does Haggis come?,Sheep,"Sheep's heart, liver and lungs mixed with oatmeal and spices, typically encased in the animal's stomach and simmered for several hours.",0.62,True
"In which country was Marie Curie born? Poland, Austria or Switzerland?",Poland,Poland,0.83,True
"What is the most common blood type in humans? A, B or O?",O,O,0.95,True
Which P is the correct technical term for the art of making and displaying fireworks?,Pyrotechnics,Pyrotechnics,0.78,True
Which King did Guy Fawkes attempt to kill with his gunpowder plot?,James I,James I of England,0.72,True
In which film was the song White Christmas first sung?,Holiday Inn,Holiday Inn (1942),0.73,True
Which Pop Idol had a number one hit in 2004 called All This Time?,Michelle McManus,Michelle McManus,0.72,True
"Which Channel 4 TV show's presenters included Mark Lamarr, Amanda De Cadenet and Terry Christian?",The Word,Brass Eye,0.73,False
What is the name of the device made of wood and horsehair that is used to play a violin?,Bow,A bow,0.85,True
What colour is the bottom stripe on the U.S. flag?,Red,red,0.85,True
What is the name given to the largest bee in a hive?,Queen,Queen Bee,0.83,True
Who won the Ladies singles title at Wimbledon in 2004?,Maria Sharapova,Maria Sharapova,0.76,True
What is the alcoholic ingredient of Irish coffee?,Whiskey,Whiskey,0.95,True
In which year did St George die?,303,303 AD,0.65,True
What are the names of the Four Horseman of the Apocalypse?,"War, Famine, Pestilence and Death","War, Famine, Pestilence and Death",0.95,True
Who is the Vice-President for George W Bush?,Dick Cheyney,Dick Cheney,0.95,True
"Which film sees Clint Eastwood, Tommy Lee Jones, James Garner and Donald Sutherland as retired astronauts?",Space Cowboys,Space Cowboys,0.95,True
"In a standard deck of cards, how many Kings have a moustache?",Three,There are no specific card designs that depict kings with moustaches in a standard deck of cards.,0.42,False
"According to the film Gremlins, if you are looking after a Gremlin you should not feed him after midnight, not get him wet and not expose him to what?",Bright Light,bright light,0.95,True
The Canary Islands are named after what animal?,Dog,canaries,0.85,False
In which capital city would you find Charles Bridge and Wenceslas Square?,Prague,Prague,0.95,True
What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,Bowie,Jones,0.79,False
What is the final event in a decathlon?,1500 metres,The 1500 meters,0.72,True
"Peter Simple, Jack Horner and Ben Nevis have all won which famous sporting event?",The Grand National,The Grand National,0.59,True
What is the largest city in Turkey?,Istanbul,Istanbul,0.93,True
Who bought Chelsea football club for £1 in 1982?,Ken Bates,"Kenny Dalglish, but only temporarily as he sold it on to a Ken Bates-led consortium.",0.5,True
"In 1998, which director's Oscar acceptance speech included the line I'm king of the world?",James Cameron,James Cameron,0.75,True
What nationality was the painter Vincent Van Gogh?,Dutch,Dutch,0.95,True
Which film features the characters Sally Albright and Harry Burns?,When Harry Met Sally,When Harry Met Sally,0.95,True
Which act won the Eurovision Song Contest for the United Kingdom singing Love Shine A Light?,Katrina And The Waves,Eimear Quinn,0.79,False
Which English word comes from an old French word meaning sour wine?,Vinegar,vinegar,0.95,True
"Which team beat American Samoa 31-0 in a qualifying match for the 2002 World Cup, but still failed to qualify?",Australia,Samoa,0.75,False
What was the name of Roland Rat's gerbil friend?,Kevin,Errol the Gerbil,0.6,False
Which animal has the longest gestation period at around 22 months?,The elephant,Elephant,0.87,True
What name is given to the home of a beaver?,Lodge,Lodge,0.89,True
What name is given to a baby marsupial?,Joey,Joey,0.85,True
Who dated actress Elizabeth Hurley between 2000 and 2001 and denied he was the father of her son born in 2002 before a DNA test proved otherwise?,Stephen Bing,Steve Bing,0.78,True
What type of animal is the star of the 2005 film Racing Stripes?,Zebra,Zebra crossed with a greyhound,0.78,True
Author Dick Francis is famous for writing novels based around which sport?,Horseracing,Horse racing,0.95,True
Which Scottish newspaper features the Broons and Oor Wullie?,The Sunday Post,The Sunday Post,0.73,True
Which famous book features the character of Bob Cratchit?,A Christmas Carol,A Christmas Carol,0.95,True
Which act has had more Christmas number one singles than any other?,The Beatles,The Beatles,0.72,True
Which Christmas song includes the line It seems so long since I could say 'sister Susie sitting on a thistle'?,All I Want for Christmas Is My Two Front Teeth,The Twelve Days of Christmas,0.71,False
Which British footballer has the most number of International caps?,Peter Shilton,Peter Shilton,0.78,True
Who holds a trumpet on the album cover of Sgt. Pepper's Lonely Hearts Club Band by The Beatles?,Ringo Starr,"Maurice Gibb and Alistair Taylor, but more famously, Ringo Starr is often miscredited with holding a trumpet, however it is actually Alistair Taylor who holds one on the cover of Sgt. Pepper's Lonely Hearts Club Band",0.5,True
Which song begins with the line The taxman's taken all my dough?,Sunny Afternoon,Hey Jude by The Beatles,0.8,False
The Kray twins were convicted of the murder of George Cornell in the East End of London in 1966. What was the name of the pub in which he was shot?,The Blind Beggar,The Blind Beggar,0.95,True
Who composed the musical theme for the Pink Panther?,Henry Mancini,Henry Mancini,0.81,True
"Who was the cartoon adversary of Pixie and Dixie, who would often say I hate those meeces to pieces?",Mr Jinx,Jinks,0.95,False
Which actress married Dennis Quaid on Valentine's Day in 1991?,Meg Ryan,Meg Ryan,0.83,True
"During Margaret Thatcher's years as Prime Minister, there were three Chancellors of the Exchequer. Geoffrey Howe and Nigel Lawson were two, but who was the other one?",John Major,Norman Lamont,0.72,False
Buddy Holly and the Big Bopper were two of the three musicians who died in a plane crash in February 1959. Who was the other one?,Richie Valens,Ritchie Valens,0.85,True
"Fruit, cricket and horseshoe are varieties of what type of animal?",Bat,bat,0.73,True
"Apart from being warm blooded and giving birth to live young, what do mammals produce to differentiate them from other families of animals?",Milk,Milk,0.87,True
To which poet does Il Postino deliver mail?,Pablo Neruda,Pablo Neruda,0.83,True
"Which scientist was Time magazine's ""Person of the 20th Century""?",Albert Einstein,Albert Einstein,0.85,True
What was the nickname given to premiership footballer Neil Ruddock?,Razor,Razor,0.57,True
The Ducati is manufactured in which city and what country?,"Bologna, Italy","Bologna, Italy",0.85,True
Wayne Rooney signed for Manchester United from which other Premiership Club?,Everton,Everton,0.83,True
The Yalu river forms a sort of natural border between China and which of its neighbours?,North Korea,North Korea,0.85,True
Which stand-up comedian presents 8 Out Of 10 Cats and Distraction?,Jimmy Carr,Jimmy Carr,0.83,True
"Name the game show, presented by Leslie Grantham and Melinda Messenger, where contestants were set physical and mental challenges?",Fort Boyard,Fort Boyard,0.63,True
Who presented Family Fortunes in the two years between Bob Monkhouse and Les Dennis?,Max Bygraves,Max Bygraves,0.79,True
For what did Einstien gat Nobel prize in Physics?,The photoelectric effect,Photons and the photoelectric effect,0.85,True
Which planet has moons named after Shakespearean characters?,Uranus,Uranus,0.78,True
"Who was part man, part machine, all cop and hailed from a futuristic Detroit?",Robocop,RoboCop,0.95,True
Who dubbed Miss Piggy's singing voice in The Muppet Movie?,Johnny Mathis,Frank Oz,0.75,False
"Who wrote the Bourne trilogy of books, made into movies starring Matt Damon?",Robert Ludlum,Robert Ludlum,0.85,True
"The Bible tells of 3 wise men visiting Jesus after his birth, but in which of the Gospels does this appear?",Matthew,Matthew,0.85,True
"Athos and Porthos are two of the 3 musketeers, name the other one.",Aramis,Aramis,0.95,True
What is the name of the small fifth claw called on the side of a dog's foot ?,The dewclaw,Vomer,0.68,False
What is the name of the plastic bit on the end of shoelaces?,An aglet,Aglet,0.8,True
The river Danube flows into which sea?,Black Sea,Black Sea,0.83,True
Anna Nicole Smith was controversially married to which oil billionaire?,J Howard Marshall,J. Howard Marshall,0.83,True
Wayne Rooney scored his first senior goal against which club?,Arsenal,Altrincham,0.62,False
How meny times have Liverpool won the Europion Cup?,5,Six times,0.72,False
The Sign Of Four was a detective story written by which author?,Sir Arthur Conan Doyle,Arthur Conan Doyle,0.95,True
